OG_id	D_melanogaster_all	D_melanogaster_gene	D_melanogaster_protein	D_yakuba_all	D_yakuba_gene	D_yakuba_protein	ML dN	ML dS	ML omega
6561	FBgn0261862	FBgn0261862	FBpp0290497	FBgn0230804	FBgn0230804	FBpp0363582	0.006	0.2853	0.021
6564	FBgn0038492	FBgn0038492	FBpp0306505	FBgn0241307	FBgn0241307	FBpp0357557	0.0475	0.3436	0.1382
6575	FBgn0035333	FBgn0035333	FBpp0289997	FBgn0238959	FBgn0238959	FBpp0266722	0.0313	0.2469	0.1268
6582	FBgn0027868	FBgn0027868	FBpp0079710	FBgn0231074	FBgn0231074	FBpp0258405	0.0408	0.4188	0.0974
6585	FBgn0033010	FBgn0033010	FBpp0085417	FBgn0229164	FBgn0229164	FBpp0256361	0.1379	0.4361	0.3162
6587	FBgn0284252	FBgn0284252	FBpp0072256	FBgn0229250	FBgn0229250	FBpp0256455	0.0184	0.3116	0.0591
6592	FBgn0036612	FBgn0036612	FBpp0110166	FBgn0236898;FBgn0276561	FBgn0236898	FBpp0264568	0.0113	0.2427	0.0466
6594	FBgn0030336	FBgn0030336	FBpp0073444	FBgn0235052	FBgn0235052	FBpp0262606	0.0073	0.184	0.0397
6599	FBgn0263929	FBgn0263929	FBpp0296972	FBgn0241381	FBgn0241381	FBpp0353434	0.0247	0.17	0.1453
6602	FBgn0034570	FBgn0034570	FBpp0304845	FBgn0229922	FBgn0229922	FBpp0362916	0.0179	0.2995	0.0598
6605	FBgn0030349	FBgn0030349	FBpp0300413	FBgn0235043	FBgn0235043	FBpp0355382	0.0125	0.2676	0.0467
6623	FBgn0028671	FBgn0028671	FBpp0084743	FBgn0240990	FBgn0240990	FBpp0360526	0.005	0.3269	0.0153
6631	FBgn0261987	FBgn0261987	FBpp0082932	FBgn0242562	FBgn0242562	FBpp0270505	0.0165	0.3073	0.0537
6633	FBgn0002564	FBgn0002564	FBpp0072365	FBgn0238332	FBgn0238332	FBpp0266062	0.0129	0.5443	0.0237
6634	FBgn0266669	FBgn0266669	FBpp0074993	FBgn0239382	FBgn0239382	FBpp0267163	0.0059	0.3379	0.0175
6638	FBgn0000463	FBgn0000463	FBpp0083153	FBgn0242221	FBgn0242221	FBpp0270145	0.0073	0.2034	0.0359
6641	FBgn0051156	FBgn0051156	FBpp0083670	FBgn0241163	FBgn0241163	FBpp0362992	0.0723	0.2867	0.2522
6642	FBgn0034717	FBgn0034717	FBpp0071724	FBgn0231793	FBgn0231793	FBpp0259181	0.0293	0.372	0.0788
6646	FBgn0002563	FBgn0002563	FBpp0311765	FBgn0234688	FBgn0234688	FBpp0262220	0.0201	0.4697	0.0428
6648	FBgn0017581	FBgn0017581	FBpp0082008	FBgn0227970	FBgn0227970	FBpp0255098	0.0243	0.1575	0.1543
6652	FBgn0038191	FBgn0038191	FBpp0082339	FBgn0241681	FBgn0241681	FBpp0269580	0.152	0.4072	0.3733
6655	FBgn0264908	FBgn0264908	FBpp0306994	FBgn0237139;FBgn0240021	FBgn0237139	FBpp0355489	0.0206	0.1064	0.1936
6656	FBgn0034529	FBgn0034529	FBpp0085541	FBgn0229894	FBgn0229894	FBpp0257136	0.0948	0.3449	0.2749
6665	FBgn0270924	FBgn0270924	FBpp0079461	FBgn0236247	FBgn0236247	FBpp0263876	0.0066	0.2355	0.028
6666	FBgn0039491	FBgn0039491	FBpp0084500	FBgn0228439	FBgn0228439	FBpp0255594	0.0554	0.3402	0.1628
6667	FBgn0051716	FBgn0051716	FBpp0304028	FBgn0236309	FBgn0236309	FBpp0355890	0.0388	0.1933	0.2007
6668	FBgn0036386	FBgn0036386	FBpp0075534	FBgn0237369	FBgn0237369	FBpp0265054	0.0525	0.3781	0.1389
6672	FBgn0038597	FBgn0038597	FBpp0082995	FBgn0242596	FBgn0242596	FBpp0270541	0.0126	0.2739	0.046
6677	FBgn0086784	FBgn0086784	FBpp0100147	FBgn0239984	FBgn0239984	FBpp0267788	0.0021	0.2912	0.0072
6680	FBgn0027528	FBgn0027528	FBpp0074133	FBgn0233216	FBgn0233216	FBpp0260656	0.0095	0.2144	0.0443
6687	FBgn0020415	FBgn0020415	FBpp0080418	FBgn0230808	FBgn0230808	FBpp0258118	0.0143	0.2796	0.0511
6690	FBgn0263038	FBgn0263038	FBpp0297780	FBgn0242180	FBgn0242180	FBpp0270103	0.0087	0.2708	0.0321
6693	FBgn0259247	FBgn0259247	FBpp0289199	FBgn0229182	FBgn0229182	FBpp0256379	0.0574	0.5422	0.1059
6694	FBgn0039478	FBgn0039478	FBpp0304093	FBgn0228447	FBgn0228447	FBpp0255603	0.0169	0.2942	0.0574
6697	FBgn0032699	FBgn0032699	FBpp0309816	FBgn0230439	FBgn0230439	FBpp0257725	0.011	0.3383	0.0325
6698	FBgn0011020	FBgn0011020	FBpp0081088	FBgn0276624;FBgn0242004	FBgn0276624	FBpp0354558	0.0432	0.3491	0.1237
6701	FBgn0036018	FBgn0036018	FBpp0076112	FBgn0238147	FBgn0238147	FBpp0265867	0.0178	0.3172	0.0561
6706	FBgn0000283	FBgn0000283	FBpp0082581	FBgn0041646	FBgn0041646	FBpp0271404	0.0334	0.2349	0.1422
6707	FBgn0038304	FBgn0038304	FBpp0082510	FBgn0241406	FBgn0241406	FBpp0269287	0.0028	0.281	0.01
6708	FBgn0003392	FBgn0003392	FBpp0305866	FBgn0234713	FBgn0234713	FBpp0356471	0.0026	0.1525	0.017
6713	FBgn0037536	FBgn0037536	FBpp0300419	FBgn0242053	FBgn0242053	FBpp0355006	0.0132	0.2412	0.0547
6719	FBgn0263005	FBgn0263005	FBpp0297743	FBgn0233721	FBgn0233721	FBpp0364640	0.0088	0.4379	0.0201
6731	FBgn0028471	FBgn0028471	FBpp0084017	FBgn0228651	FBgn0228651	FBpp0255820	0.0343	0.2665	0.1287
6737	FBgn0262125	FBgn0262125	FBpp0301099	FBgn0228031	FBgn0228031	FBpp0362746	0.0022	0.2779	0.0079
6743	FBgn0011703	FBgn0011703	FBpp0079648	FBgn0243125	FBgn0243125	FBpp0271095	0.0086	0.382	0.0225
6744	FBgn0016650	FBgn0016650	FBpp0082934	FBgn0242563;FBgn0232596	FBgn0242563	FBpp0363510	0.0259	0.2873	0.0901
6749	FBgn0027660	FBgn0027660	FBpp0074995	FBgn0067942	FBgn0067942	FBpp0361464	0.0107	0.2341	0.0457
6751	FBgn0027537	FBgn0027537	FBpp0073659	FBgn0234593	FBgn0234593	FBpp0262122	0.1215	0.3763	0.3229
6752	FBgn0264895	FBgn0264895	FBpp0306873	FBgn0068084	FBgn0068084	FBpp0354629	0.007	0.2275	0.0308
6754	FBgn0033859	FBgn0033859	FBpp0086749	FBgn0230288	FBgn0230288	FBpp0257566	0.0077	0.3153	0.0244
6759	FBgn0002566	FBgn0002566	FBpp0305699	FBgn0231671;FBgn0276452	FBgn0231671	FBpp0259053	0.0473	0.3344	0.1414
6762	FBgn0036299	FBgn0036299	FBpp0075698	FBgn0237431	FBgn0237431	FBpp0265118	0.0169	0.4593	0.0368
6769	FBgn0004872	FBgn0004872	FBpp0309202	FBgn0230809	FBgn0230809	FBpp0258120	0.0259	0.3704	0.0699
6773	FBgn0037580	FBgn0037580	FBpp0081331	FBgn0242923	FBgn0242923	FBpp0270883	0.0151	0.2223	0.0679
6790	FBgn0037546	FBgn0037546	FBpp0081285	FBgn0242896	FBgn0242896	FBpp0360067	0.0111	0.2406	0.0461
6795	FBgn0031081	FBgn0031081	FBpp0300206	FBgn0233442	FBgn0233442	FBpp0260891	0.0047	0.4338	0.0108
6809	FBgn0031762	FBgn0031762	FBpp0078859	FBgn0236330	FBgn0236330	FBpp0263970	0.0106	0.3592	0.0295
6822	FBgn0029843	FBgn0029843	FBpp0309046	FBgn0234228	FBgn0234228	FBpp0261742	0.0109	0.3504	0.0311
6825	FBgn0027570	FBgn0027570	FBpp0293663	FBgn0242416	FBgn0242416	FBpp0362176	0.0219	0.4063	0.0539
6829	FBgn0058178	FBgn0058178	FBpp0112540	FBgn0276761;FBgn0275840	FBgn0276761	FBpp0357476	0.0833	0.4373	0.1905
6831	FBgn0039290	FBgn0039290	FBpp0084180	FBgn0240746	FBgn0240746	FBpp0268580	0.0299	0.3447	0.0867
6832	FBgn0267592;FBgn0051161	FBgn0267592	FBpp0312563	FBgn0232760;FBgn0276078;FBgn0228186	FBgn0232760	FBpp0260182	0.1228	0.4379	0.2804
6833	FBgn0037276	FBgn0037276	FBpp0078520	FBgn0242411	FBgn0242411	FBpp0270342	0.0152	0.4714	0.0322
6834	FBgn0023529	FBgn0023529	FBpp0290016	FBgn0234443	FBgn0234443	FBpp0354787	0.0222	0.4211	0.0527
6838	FBgn0041150	FBgn0041150	FBpp0077087	FBgn0236115	FBgn0236115	FBpp0263731	0.0042	0.2245	0.0187
6839	FBgn0004657	FBgn0004657	FBpp0309121	FBgn0233322	FBgn0233322	FBpp0360015	0.0497	0.4242	0.1172
6840	FBgn0017561	FBgn0017561	FBpp0310181	FBgn0234806	FBgn0234806	FBpp0362791	0.0159	0.2582	0.0616
6844	FBgn0051320	FBgn0051320	FBpp0082402	FBgn0243476	FBgn0243476	FBpp0271465	0.0636	0.3675	0.1731
6850	FBgn0039916	FBgn0039916	FBpp0110206	FBgn0232111	FBgn0232111	FBpp0353546	0.0409	0.2796	0.1463
6855	FBgn0262866	FBgn0262866	FBpp0077052	FBgn0068042	FBgn0068042	FBpp0262954	0.0135	0.2436	0.0554
6856	FBgn0005536	FBgn0005536	FBpp0300535	FBgn0276654;FBgn0275847	FBgn0276654	FBpp0355193	0.0053	0.1248	0.0425
6858	FBgn0036414	FBgn0036414	FBpp0302810	FBgn0237351	FBgn0237351	FBpp0265036	0.0041	0.4926	0.0083
6867	FBgn0003567	FBgn0003567	FBpp0082405	FBgn0243479	FBgn0243479	FBpp0357332	0.0282	0.3435	0.0821
6871	FBgn0025866	FBgn0025866	FBpp0076072	FBgn0238973	FBgn0238973	FBpp0266737	0.0131	0.25	0.0524
6874	FBgn0036868	FBgn0036868	FBpp0303313	FBgn0232670;FBgn0275893;FBgn0277265;FBgn0276513;FBgn0276730;FBgn0232658;FBgn0276016;FBgn0276104;FBgn0236454;FBgn0240391;FBgn0276052;FBgn0276082;FBgn0240395;FBgn0275470;FBgn0240400	FBgn0232670	FBpp0361539	0.2589	0.4656	0.5561
6876	FBgn0003353	FBgn0003353	FBpp0072079	FBgn0231976	FBgn0231976	FBpp0362587	0.0503	0.3765	0.1336
6882	FBgn0052350	FBgn0052350	FBpp0070045	FBgn0235431	FBgn0235431	FBpp0263007	0.1139	0.4133	0.2756
6883	FBgn0039518;FBgn0039010	FBgn0039518	FBpp0084552	FBgn0241155;FBgn0240893	FBgn0241155	FBpp0269023	0.4	3.4177	0.117
6886	FBgn0043458	FBgn0043458	FBpp0072595	FBgn0238241	FBgn0238241	FBpp0265966	0.0081	0.2298	0.0352
6892	FBgn0028497	FBgn0028497	FBpp0071938	FBgn0229372	FBgn0229372	FBpp0360170	0.0042	0.3428	0.0123
6903	FBgn0033494	FBgn0033494	FBpp0290659	FBgn0238999	FBgn0238999	FBpp0266764	0.0082	0.1422	0.0577
6905	FBgn0016917	FBgn0016917	FBpp0306651	FBgn0242155	FBgn0242155	FBpp0356166	0.0175	0.2346	0.0746
6906	FBgn0031999	FBgn0031999	FBpp0079210	FBgn0236135	FBgn0236135	FBpp0263753	0.0264	0.3306	0.0799
6907	FBgn0259224	FBgn0259224	FBpp0306698	FBgn0238631	FBgn0238631	FBpp0359077	0.0251	0.3752	0.0669
6911	FBgn0000568	FBgn0000568	FBpp0074914	FBgn0239329	FBgn0239329	FBpp0356183	0.014	0.2525	0.0554
6913	FBgn0263986	FBgn0263986	FBpp0083696	FBgn0228192	FBgn0228192	FBpp0255334	0.0181	0.3268	0.0554
6922	FBgn0031598	FBgn0031598	FBpp0077151	FBgn0232340	FBgn0232340	FBpp0259758	0.0096	0.2952	0.0325
6925	FBgn0250816	FBgn0250816	FBpp0289160	FBgn0276442	FBgn0276442	FBpp0356494	0.111	0.5083	0.2184
6939	FBgn0266100	FBgn0266100	FBpp0310153	FBgn0237490	FBgn0237490	FBpp0358281	0.015	0.2762	0.0543
6941	FBgn0038629	FBgn0038629	FBpp0112989	FBgn0242273;FBgn0277012	FBgn0242273	FBpp0355360	0.0573	0.1357	0.4223
6948	FBgn0086251	FBgn0086251	FBpp0305298	FBgn0230710	FBgn0230710	FBpp0361204	0.1955	0.3227	0.6058
6953	FBgn0039594	FBgn0039594	FBpp0084677	FBgn0240952	FBgn0240952	FBpp0268807	0.0027	0.1779	0.0152
6956	FBgn0037141	FBgn0037141	FBpp0078142	FBgn0236856;FBgn0277250	FBgn0236856	FBpp0264525	0.062	0.3104	0.1997
6965	FBgn0034441	FBgn0034441	FBpp0085712	FBgn0229819	FBgn0229819	FBpp0257056	0.0565	0.3143	0.1798
6967	FBgn0030946	FBgn0030946	FBpp0074383	FBgn0233080	FBgn0233080	FBpp0260514	0.0425	0.3303	0.1287
6973	FBgn0037073	FBgn0037073	FBpp0077998	FBgn0237081;FBgn0237078	FBgn0237081	FBpp0264758	0.0152	0.331	0.0459
6975	FBgn0039165	FBgn0039165	FBpp0083940	FBgn0240642	FBgn0240642	FBpp0268469	0.0877	0.3303	0.2655
6976	FBgn0025815	FBgn0025815	FBpp0070913	FBgn0234257	FBgn0234257	FBpp0261773	0.0115	0.3577	0.0321
6979	FBgn0260660	FBgn0260660	FBpp0301686	FBgn0238843	FBgn0238843	FBpp0358533	0.0144	0.1275	0.1129
6983	FBgn0052344	FBgn0052344	FBpp0072475	FBgn0238310	FBgn0238310	FBpp0266040	0.0151	0.487	0.031
6990	FBgn0030512	FBgn0030512	FBpp0310009	FBgn0233689	FBgn0233689	FBpp0261155	0.0088	0.4777	0.0184
6991	FBgn0038390	FBgn0038390	FBpp0082667	FBgn0241475	FBgn0241475	FBpp0269364	0.0749	0.2713	0.2761
6994	FBgn0035402	FBgn0035402	FBpp0298309	FBgn0238916	FBgn0238916	FBpp0266677	0.0163	0.2697	0.0604
7001	FBgn0262124	FBgn0262124	FBpp0306957	FBgn0277402	FBgn0277402	FBpp0361192	0.028	0.2927	0.0957
7002	FBgn0031514	FBgn0031514	FBpp0077296	FBgn0232506	FBgn0232506	FBpp0259926	0.0146	0.2978	0.049
7004	FBgn0030662	FBgn0030662	FBpp0309305	FBgn0233587	FBgn0233587	FBpp0261046	0.007	0.3846	0.0182
7009	FBgn0031975	FBgn0031975	FBpp0079155	FBgn0236118	FBgn0236118	FBpp0263735	0.0152	0.4315	0.0352
7011	FBgn0028862	FBgn0028862	FBpp0080267	FBgn0238191	FBgn0238191	FBpp0265912	0.0069	0.1909	0.0361
7020	FBgn0033657	FBgn0033657	FBpp0087139	FBgn0230130	FBgn0230130	FBpp0257394	0.0062	0.2438	0.0254
7025	FBgn0034420	FBgn0034420	FBpp0288751	FBgn0229798	FBgn0229798	FBpp0356981	0.0164	0.2085	0.0787
7030	FBgn0037862	FBgn0037862	FBpp0081812	FBgn0243112	FBgn0243112	FBpp0271080	0.0144	0.2881	0.05
7033	FBgn0029693	FBgn0029693	FBpp0309962	FBgn0234364	FBgn0234364	FBpp0261884	0.0246	0.3826	0.0643
7047	FBgn0038376	FBgn0038376	FBpp0082642	FBgn0243383	FBgn0243383	FBpp0271364	0.0111	0.2605	0.0426
7048	FBgn0031696	FBgn0031696	FBpp0078704	FBgn0242449	FBgn0242449	FBpp0270382	0.0311	0.2821	0.1102
7050	FBgn0033454	FBgn0033454	FBpp0087461	FBgn0236658	FBgn0236658	FBpp0264318	0.0245	0.3584	0.0684
7052	FBgn0033260	FBgn0033260	FBpp0290569	FBgn0240518	FBgn0240518	FBpp0268333	0.005	0.1864	0.0268
7059	FBgn0002989	FBgn0002989	FBpp0077357	FBgn0232556	FBgn0232556	FBpp0259976	0.0209	0.3264	0.064
7064	FBgn0033095	FBgn0033095	FBpp0085473	FBgn0241687	FBgn0241687	FBpp0360976	0.0115	0.3391	0.0339
7067	FBgn0031070	FBgn0031070	FBpp0074578	FBgn0231128	FBgn0231128	FBpp0258466	0.0678	0.3888	0.1744
7070	FBgn0038593	FBgn0038593	FBpp0083022	FBgn0242305	FBgn0242305	FBpp0355984	0.0214	0.3367	0.0636
7073	FBgn0243514	FBgn0243514	FBpp0301780	FBgn0228444	FBgn0228444	FBpp0354048	0.1769	0.5156	0.3431
7075	FBgn0261530	FBgn0261530	FBpp0297182	FBgn0238489	FBgn0238489	FBpp0352545	0.0644	0.3043	0.2116
7078	FBgn0029870	FBgn0029870	FBpp0310030	FBgn0234246	FBgn0234246	FBpp0354708	0.0051	0.3839	0.0133
7085	FBgn0045980	FBgn0045980	FBpp0084112	FBgn0228613	FBgn0228613	FBpp0255781	0.0156	0.3299	0.0473
7087	FBgn0052232	FBgn0052232	FBpp0073229	FBgn0237886	FBgn0237886	FBpp0355595	0.1763	0.3575	0.4931
7093	FBgn0000287	FBgn0000287	FBpp0079822	FBgn0235935	FBgn0235935	FBpp0263534	0.0166	0.2646	0.0627
7097	FBgn0032633	FBgn0032633	FBpp0080522	FBgn0230837	FBgn0230837	FBpp0258151	0.0156	0.2074	0.0752
7104	FBgn0051145	FBgn0051145	FBpp0288495	FBgn0241081	FBgn0241081	FBpp0359410	0.0306	0.1593	0.1921
7106	FBgn0262123	FBgn0262123	FBpp0112753	FBgn0277284;FBgn0229141	FBgn0277284	FBpp0358521	0.0342	0.3482	0.0982
7119	FBgn0037249	FBgn0037249	FBpp0312226	FBgn0242428	FBgn0242428	FBpp0270360	0.0159	0.2929	0.0543
7132	FBgn0040388	FBgn0040388	FBpp0306904	FBgn0234431	FBgn0234431	FBpp0357243	0.0276	0.33	0.0836
7136	FBgn0260006	FBgn0260006	FBpp0099994	FBgn0234647	FBgn0234647	FBpp0262178	0.0126	0.3042	0.0414
7139	FBgn0036206	FBgn0036206	FBpp0075816	FBgn0237501	FBgn0237501	FBpp0265189	0.0348	0.397	0.0877
7140	FBgn0026563	FBgn0026563	FBpp0081142	FBgn0241986	FBgn0241986	FBpp0353852	0.1607	0.3878	0.4144
7142	FBgn0087035	FBgn0087035	FBpp0075313	FBgn0240352;FBgn0085112	FBgn0240352	FBpp0363760	0.1317	0.3695	0.3564
7149	FBgn0051121	FBgn0051121	FBpp0084098	FBgn0228601	FBgn0228601	FBpp0255769	0.0039	0.285	0.0137
7154	FBgn0024314	FBgn0024314	FBpp0077645	FBgn0233289	FBgn0233289	FBpp0260732	0.0413	0.3534	0.1169
7155	FBgn0266099	FBgn0266099	FBpp0310151	FBgn0240203;FBgn0240111	FBgn0240203	FBpp0357566	0.0345	0.4899	0.0704
7156	FBgn0028509	FBgn0028509	FBpp0080123	FBgn0236091	FBgn0236091	FBpp0352849	0.005	0.2044	0.0245
7161	FBgn0265991	FBgn0265991	FBpp0099801	FBgn0231757	FBgn0231757	FBpp0356907	0.0125	0.1509	0.0828
7164	FBgn0031055	FBgn0031055	FBpp0300795	FBgn0234833	FBgn0234833	FBpp0353766	0.1375	0.4385	0.3136
7171	FBgn0260745	FBgn0260745	FBpp0081972	FBgn0241673	FBgn0241673	FBpp0269571	0.0072	0.2195	0.0328
7176	FBgn0031872	FBgn0031872	FBpp0078993	FBgn0084224	FBgn0084224	FBpp0263400	0.0174	0.3133	0.0555
7178	FBgn0030582	FBgn0030582	FBpp0073764	FBgn0084085	FBgn0084085	FBpp0353354	0.0256	0.3773	0.0679
7183	FBgn0033540	FBgn0033540	FBpp0087307	FBgn0230548	FBgn0230548	FBpp0257838	0.0344	0.2344	0.1468
7185	FBgn0027579	FBgn0027579	FBpp0307019	FBgn0240926	FBgn0240926	FBpp0268780	0.0167	0.3033	0.0551
7187	FBgn0051072	FBgn0051072	FBpp0306425	FBgn0228466	FBgn0228466	FBpp0356090	0.0317	0.1781	0.178
7188	FBgn0026430	FBgn0026430	FBpp0074544	FBgn0234848	FBgn0234848	FBpp0262390	0.1056	0.373	0.2831
7190	FBgn0031649	FBgn0031649	FBpp0077085	FBgn0236114	FBgn0236114	FBpp0263730	0.0224	0.2732	0.082
7192	FBgn0026371	FBgn0026371	FBpp0078042	FBgn0239548;FBgn0276867;FBgn0276540	FBgn0239548	FBpp0267335	0.029	0.241	0.1203
7203	FBgn0029736	FBgn0029736	FBpp0290220	FBgn0234321	FBgn0234321	FBpp0261839	0.0086	0.305	0.0282
7204	FBgn0028476	FBgn0028476	FBpp0290057	FBgn0240997	FBgn0240997	FBpp0268857	0.0344	0.2328	0.1478
7208	FBgn0051342	FBgn0051342	FBpp0112315	FBgn0243262	FBgn0243262	FBpp0360770	0.0252	0.2257	0.1117
7210	FBgn0000382	FBgn0000382	FBpp0070363	FBgn0233776	FBgn0233776	FBpp0362966	0.0149	0.2599	0.0573
7213	FBgn0012058	FBgn0012058	FBpp0305561	FBgn0237748	FBgn0237748	FBpp0265443	0.0176	0.3207	0.0549
7214	FBgn0046685	FBgn0046685	FBpp0084049	FBgn0228629	FBgn0228629	FBpp0255797	0.0156	0.304	0.0513
7225	FBgn0033365	FBgn0033365	FBpp0087746	FBgn0239869	FBgn0239869	FBpp0357162	0.0165	0.2904	0.0568
7226	FBgn0261823	FBgn0261823	FBpp0305149	FBgn0231256	FBgn0231256	FBpp0258604	0.0203	0.1632	0.1244
7235	FBgn0261509	FBgn0261509	FBpp0301723	FBgn0235089	FBgn0235089	FBpp0364226	0.0072	0.245	0.0294
7236	FBgn0028481	FBgn0028481	FBpp0077614	FBgn0234721	FBgn0234721	FBpp0353328	0.0292	0.3661	0.0798
7250	FBgn0031536	FBgn0031536	FBpp0077262	FBgn0232465	FBgn0232465	FBpp0259885	0.0195	0.2845	0.0685
7251	FBgn0026702	FBgn0026702	FBpp0070748	FBgn0233940	FBgn0233940	FBpp0261423	0.0373	0.3228	0.1156
7252	FBgn0000008	FBgn0000008	FBpp0071677	FBgn0231782	FBgn0231782	FBpp0259170	0.0149	0.1823	0.0817
7266	FBgn0038511	FBgn0038511	FBpp0082883	FBgn0242543	FBgn0242543	FBpp0270485	0.0018	0.2601	0.0069
7273	FBgn0034184	FBgn0034184	FBpp0086128	FBgn0229439	FBgn0229439	FBpp0256651	0.0173	0.2336	0.0741
7280	FBgn0028695	FBgn0028695	FBpp0074662	FBgn0236972	FBgn0236972	FBpp0264644	0.0075	0.318	0.0236
7291	FBgn0034829	FBgn0034829	FBpp0071879	FBgn0231883	FBgn0231883	FBpp0259277	0.1631	0.477	0.3419
7292	FBgn0002791	FBgn0002791	FBpp0072065	FBgn0231965	FBgn0231965	FBpp0259363	0.0212	0.2799	0.0757
7296	FBgn0014073	FBgn0014073	FBpp0073179	FBgn0237911	FBgn0237911	FBpp0265613	0.0163	0.2614	0.0624
7298	FBgn0035137	FBgn0035137	FBpp0072447	FBgn0238365	FBgn0238365	FBpp0266095	0.043	0.2476	0.1737
7299	FBgn0261014	FBgn0261014	FBpp0111818	FBgn0236673	FBgn0236673	FBpp0355327	0.0031	0.2156	0.0144
7301	FBgn0021847	FBgn0021847	FBpp0085344	FBgn0236763	FBgn0236763	FBpp0264430	0.0082	0.2425	0.0338
7302	FBgn0032480	FBgn0032480	FBpp0080019	FBgn0236029	FBgn0236029	FBpp0263633	0.0078	0.2454	0.0318
7308	FBgn0032536	FBgn0032536	FBpp0310234	FBgn0236379	FBgn0236379	FBpp0264022	0.011	0.3071	0.0358
7309	FBgn0027287	FBgn0027287	FBpp0073859	FBgn0234673	FBgn0234673	FBpp0356619	0.0513	0.3617	0.1418
7311	FBgn0035026	FBgn0035026	FBpp0072249	FBgn0229246	FBgn0229246	FBpp0256451	0.0141	0.2353	0.0599
7320	FBgn0004108	FBgn0004108	FBpp0292987	FBgn0237203	FBgn0237203	FBpp0264883	0.0128	0.2451	0.0522
7327	FBgn0010395	FBgn0010395	FBpp0080990	FBgn0230605	FBgn0230605	FBpp0257899	0.0308	0.314	0.0981
7339	FBgn0263256	FBgn0263256	FBpp0300618	FBgn0236129	FBgn0236129	FBpp0358585	0.0188	0.229	0.0821
7341	FBgn0038725	FBgn0038725	FBpp0311448	FBgn0242204	FBgn0242204	FBpp0270127	0.0237	0.2529	0.0937
7342	FBgn0010100	FBgn0010100	FBpp0312178	FBgn0230617	FBgn0230617	FBpp0257912	0.009	0.2963	0.0304
7345	FBgn0052626	FBgn0052626	FBpp0309386	FBgn0233680	FBgn0233680	FBpp0355949	0.0095	0.2745	0.0346
7353	FBgn0034708	FBgn0034708	FBpp0071685	FBgn0231788	FBgn0231788	FBpp0259176	0.0072	0.2905	0.0248
7362	FBgn0039734	FBgn0039734	FBpp0084917	FBgn0228684	FBgn0228684	FBpp0255857	0.0023	0.1899	0.0121
7363	FBgn0262714	FBgn0262714	FBpp0075661	FBgn0239163	FBgn0239163	FBpp0364165	0.0146	0.2205	0.0662
7367	FBgn0027090	FBgn0027090	FBpp0084240	FBgn0228564	FBgn0228564	FBpp0255729	0.0074	0.3177	0.0233
7377	FBgn0032956	FBgn0032956	FBpp0085255	FBgn0230638	FBgn0230638	FBpp0257934	0.0053	0.2478	0.0214
7385	FBgn0034459	FBgn0034459	FBpp0290053	FBgn0229838	FBgn0229838	FBpp0257075	0.0432	0.3633	0.1189
7390	FBgn0030222	FBgn0030222	FBpp0071435	FBgn0232960	FBgn0232960	FBpp0260392	0.0762	0.3876	0.1966
7391	FBgn0039818	FBgn0039818	FBpp0085101	FBgn0240530	FBgn0240530	FBpp0268347	0.0316	0.4379	0.0722
7392	FBgn0020388	FBgn0020388	FBpp0075701	FBgn0237435	FBgn0237435	FBpp0265122	0.0188	0.2929	0.0642
7398	FBgn0038274	FBgn0038274	FBpp0082467	FBgn0243447	FBgn0243447	FBpp0271432	0.0422	0.3083	0.1369
7401	FBgn0028579	FBgn0028579	FBpp0085459	FBgn0236434	FBgn0236434	FBpp0264083	0.0365	0.2612	0.1397
7406	FBgn0002783	FBgn0002783	FBpp0082692	FBgn0243371	FBgn0243371	FBpp0271352	0.0088	0.2243	0.0392
7415	FBgn0085440	FBgn0085440	FBpp0309261	FBgn0233715	FBgn0233715	FBpp0261182	0.0222	0.2865	0.0775
7418	FBgn0034707	FBgn0034707	FBpp0071684	FBgn0231786	FBgn0231786	FBpp0259174	0.0179	0.3659	0.0489
7421	FBgn0002709	FBgn0002709	FBpp0292855	FBgn0046713	FBgn0046713	FBpp0353460	0.2032	0.3709	0.5479
7422	FBgn0052685	FBgn0052685	FBpp0300807	FBgn0232994	FBgn0232994	FBpp0352390	0.1042	0.3662	0.2845
7425	FBgn0027532	FBgn0027532	FBpp0078139	FBgn0240197;FBgn0232405	FBgn0240197	FBpp0268006	0.0616	0.3269	0.1884
7435	FBgn0013272	FBgn0013272	FBpp0071729	FBgn0231794	FBgn0231794	FBpp0259182	0.0297	0.3433	0.0865
7436	FBgn0028370	FBgn0028370	FBpp0290072	FBgn0238336	FBgn0238336	FBpp0266066	0.0107	0.2394	0.0447
7439	FBgn0035724	FBgn0035724	FBpp0076646	FBgn0237772	FBgn0237772	FBpp0265467	0.0116	0.4532	0.0256
7446	FBgn0040207	FBgn0040207	FBpp0074025	FBgn0233536	FBgn0233536	FBpp0260992	0.0124	0.2321	0.0534
7455	FBgn0026418	FBgn0026418	FBpp0292999	FBgn0239231	FBgn0239231	FBpp0356206	0.0111	0.1648	0.0674
7457	FBgn0022935	FBgn0022935	FBpp0076724	FBgn0237810	FBgn0237810	FBpp0265506	0.0067	0.3108	0.0216
7458	FBgn0265574	FBgn0265574	FBpp0072468	FBgn0238307	FBgn0238307	FBpp0266035	0.0059	0.2928	0.0202
7459	FBgn0034844	FBgn0034844	FBpp0071911	FBgn0231890	FBgn0231890	FBpp0359126	0.0919	0.4791	0.1918
