"FBgn" "ML.dN" "ML.dS" "ML.omega"
"FBgn0266673" 0.003 0.3582 0.0084
"FBgn0038466" 0.0179 0.2821 0.0635
"FBgn0039580" 0.0104 0.3511 0.0296
"FBgn0045063" 0.0198 0.2496 0.0793
"FBgn0024182" 0.0293 0.3474 0.0843
"FBgn0036514" 0.0419 0.3774 0.111
"FBgn0020379" 0.0092 0.2504 0.0367
"FBgn0266917" 0.0103 0.2764 0.0373
"FBgn0001222" 0.0312 0.2561 0.1218
"FBgn0039562" 0.0103 0.4031 0.0256
"FBgn0034566" 0.0201 0.3914 0.0514
"FBgn0036837" 0.0283 0.3167 0.0894
"FBgn0035771" 0.005 0.2936 0.017
"FBgn0263143" 0.0836 0.4654 0.1796
"FBgn0036317" 0.0236 0.2388 0.0988
"FBgn0038873" 0.0525 0.3319 0.1582
"FBgn0030890" 0.0085 0.2677 0.0318
"FBgn0038469" 0.0227 0.2983 0.0761
"FBgn0051933" 0.0481 0.4051 0.1187
"FBgn0039668" 0.0458 0.3379 0.1355
"FBgn0000377" 0.012 0.3204 0.0375
"FBgn0261575" 0.0185 0.4285 0.0432
"FBgn0039113" 0.0065 0.2546 0.0255
"FBgn0261555" 0.0102 0.2438 0.0418
"FBgn0034999" 0.0351 0.4821 0.0728
"FBgn0040238" 0.0087 0.196 0.0444
"FBgn0036150" 0.0476 0.5046 0.0943
"FBgn0000376" 0.0564 0.4349 0.1297
"FBgn0037689" 0.0051 0.2892 0.0176
"FBgn0039897" 0.1126 0.2715 0.4147
"FBgn0003866" 0.0234 0.2413 0.097
"FBgn0030505" 0.0288 0.2761 0.1043
"FBgn0036282" 0.0237 0.34 0.0697
"FBgn0016122" 0.0089 0.2927 0.0304
"FBgn0032506" 0.0231 0.2717 0.085
"FBgn0031681" 3e-04 0.2716 0.0011
"FBgn0031926" 0.0335 0.2662 0.1258
"FBgn0032775" 0.0118 0.2396 0.0492
"FBgn0001089" 0.0146 0.2777 0.0526
"FBgn0037440" 0.0307 0.2751 0.1116
"FBgn0028519" 0.0245 0.2647 0.0926
"FBgn0031947" 0.017 0.2927 0.0581
"FBgn0005654" 0.0273 0.3386 0.0806
"FBgn0030592" 0.012 0.2906 0.0413
"FBgn0261610" 0.0257 0.3359 0.0765
"FBgn0028387" 0.0151 0.2991 0.0505
"FBgn0004381" 0.0067 0.2666 0.0251
"FBgn0034824" 0.102 0.3524 0.2894
"FBgn0023076" 0.0233 0.4511 0.0517
"FBgn0026634" 0.0168 0.2546 0.066
"FBgn0028499" 0.0165 0.3786 0.0436
"FBgn0032690" 0.0097 0.2596 0.0374
"FBgn0036702" 0.0038 0.2661 0.0143
"FBgn0028931" 0.084 0.3653 0.2299
"FBgn0035439" 0.0208 0.4454 0.0467
"FBgn0050395" 0.4312 1.1249 0.3833
"FBgn0031069" 0.0049 0.2914 0.0168
"FBgn0027280" 0.0229 0.2368 0.0967
"FBgn0029912" 0.0207 0.3224 0.0642
"FBgn0265137" 0.0549 0.2483 0.2211
"FBgn0031304" 0.0109 0.2231 0.0489
"FBgn0040319" 0.0054 0.3879 0.0139
"FBgn0034540" 0.0146 0.2617 0.0558
"FBgn0015664" 0.0174 0.362 0.0481
"FBgn0050359" 0.0223 0.326 0.0684
"FBgn0034187" 0.1386 0.3514 0.3944
"FBgn0027558" 0.0039 0.3126 0.0125
"FBgn0038652" 0.0039 0.3008 0.013
"FBgn0032717" 0.0447 0.2168 0.2062
"FBgn0038223" 0.052 0.182 0.2857
"FBgn0014340" 0.0349 0.3101 0.1125
"FBgn0039140" 0.0065 0.2635 0.0247
"FBgn0039084" 0.0271 0.3494 0.0776
"FBgn0010303" 0.0186 0.1682 0.1106
"FBgn0044323" 0.0012 0.2041 0.0059
"FBgn0036450" 0.0472 0.2552 0.185
"FBgn0041627" 0.0598 0.3583 0.1669
"FBgn0267977" 0.13 0.4406 0.2951
"FBgn0050463" 0.0073 0.2301 0.0317
"FBgn0034496" 0.0136 0.3592 0.0379
"FBgn0003515" 0.0054 0.3083 0.0175
"FBgn0031655" 0.052 0.3264 0.1593
"FBgn0020887" 0.0221 0.288 0.0767
"FBgn0003028" 0.017 0.2367 0.0718
"FBgn0030065" 0.0202 0.3767 0.0536
"FBgn0020307" 0.0152 0.3005 0.0506
"FBgn0033741" 0.0383 0.3042 0.1259
"FBgn0034047" 0.1286 0.5209 0.2469
"FBgn0031573" 0.0239 0.2898 0.0825
"FBgn0015558" 0.0092 0.2141 0.043
"FBgn0003067" 0.0116 0.3886 0.0299
"FBgn0037339" 0.038 0.3109 0.1222
"FBgn0038153" 0.0672 0.3849 0.1746
"FBgn0040294" 0.0364 0.2192 0.1661
"FBgn0031465" 0.0636 0.3734 0.1703
"FBgn0032880" 0.0093 0.3734 0.0249
"FBgn0034310" 0.0353 0.3723 0.0948
"FBgn0039768" 0.0365 0.4351 0.0839
"FBgn0027348" 0.0043 0.408 0.0105
"FBgn0050169" 0.2228 0.4208 0.5295
"FBgn0035889" 0.092 0.2977 0.309
"FBgn0039915" 0.0159 0.2303 0.069
"FBgn0035094" 0.0489 0.2346 0.2084
"FBgn0039769" 0.0405 0.5006 0.0809
"FBgn0035800" 0.0895 0.4246 0.2108
"FBgn0030594" 0.0675 0.3367 0.2005
"FBgn0039022" 0.0222 0.2729 0.0813
"FBgn0039638" 0.0292 0.3239 0.0902
"FBgn0039663" 0.0426 0.3611 0.118
"FBgn0036886" 0.0386 0.3022 0.1277
"FBgn0259683" 0.0501 0.281 0.1783
"FBgn0023179" 0.0059 0.1543 0.0382
"FBgn0030004" 0.017 0.363 0.0468
"FBgn0034606" 0.0184 0.2339 0.0787
"FBgn0030555" 0.0326 0.3296 0.0989
"FBgn0003513" 0.0074 0.1828 0.0405
"FBgn0044324" 0.0359 0.2844 0.1262
"FBgn0036984" 0.0034 0.2469 0.0138
"FBgn0034068" 0.0235 0.2445 0.0961
"FBgn0033633" 0.0189 0.2857 0.0662
"FBgn0038047" 0.161 0.478 0.3368
"FBgn0034301" 0.0471 0.3032 0.1553
"FBgn0035761" 0.0124 0.3563 0.0348
"FBgn0032464" 0.0581 0.4029 0.1442
"FBgn0024191" 0.0305 0.3761 0.0811
"FBgn0031220" 0.0264 0.2684 0.0984
"FBgn0031631" 0.0237 0.3408 0.0695
"FBgn0262516" 0.0064 0.3007 0.0213
"FBgn0028979" 0.0484 0.2502 0.1934
"FBgn0030499" 0.0125 0.2595 0.0482
"FBgn0026431" 0.0902 0.3361 0.2684
"FBgn0032470" 0.0116 0.2826 0.041
"FBgn0270927" 0.0523 0.2784 0.1879
"FBgn0035591" 0.0336 0.2979 0.1128
"FBgn0261439" 0.0026 0.1974 0.0132
"FBgn0027607" 0.0069 0.3161 0.0218
"FBgn0003870" 0.0306 0.2513 0.1218
"FBgn0027572" 0.0094 0.2834 0.0332
"FBgn0029504" 0.0339 0.1986 0.1707
"FBgn0034629" 0.0197 0.2976 0.0662
"FBgn0261703" 0.0179 0.3115 0.0575
"FBgn0002552" 0.0154 0.3357 0.0459
"FBgn0035262" 0.0694 0.3285 0.2113
"FBgn0038324" 0.0124 0.3282 0.0378
"FBgn0037720" 0.0175 0.2975 0.0588
"FBgn0050496" 0.0459 0.3167 0.1449
"FBgn0266452" 0.0175 0.2798 0.0625
"FBgn0036624" 0.1515 0.3067 0.494
"FBgn0010329" 0.019 0.4242 0.0448
"FBgn0033740" 0.0353 0.2684 0.1315
"FBgn0032873" 0.0184 0.3012 0.0611
"FBgn0040056" 0.0808 0.3454 0.2339
"FBgn0030114" 0.0013 0.1678 0.0077
"FBgn0032613" 0.0484 0.3053 0.1585
"FBgn0035627" 0.0366 0.3055 0.1198
"FBgn0020389" 0.0081 0.2578 0.0314
"FBgn0033050" 0.0437 0.3388 0.129
"FBgn0030327" 0.0057 0.2938 0.0194
"FBgn0035901" 0.034 0.3201 0.1062
"FBgn0261872" 0.0279 0.2865 0.0974
"FBgn0026160" 0.0133 0.2516 0.0529
"FBgn0003423" 0.0101 0.2011 0.0502
"FBgn0035607" 0.0657 0.3174 0.207
"FBgn0036652" 0.0393 0.4169 0.0943
"FBgn0034251" 0.0703 0.2722 0.2583
"FBgn0033816" 0.0229 0.2607 0.0878
"FBgn0036104" 0.0229 0.3707 0.0618
"FBgn0261239" 0.0187 0.2254 0.083
"FBgn0283500" 0.0208 0.3076 0.0676
"FBgn0032967" 0.0702 0.294 0.2388
"FBgn0052107" 0.1388 0.3657 0.3795
"FBgn0039543" 0.0207 0.339 0.0611
"FBgn0033752" 0.0415 0.3389 0.1225
"FBgn0034418" 0.007 0.2593 0.027
"FBgn0033958" 0.0035 0.2271 0.0154
"FBgn0262002" 0.1183 0.3601 0.3285
"FBgn0033936" 0.0173 0.3276 0.0528
"FBgn0034075" 0.0368 0.2434 0.1512
"FBgn0086916" 0.0618 0.3455 0.1789
"FBgn0031240" 0.0098 0.3607 0.0272
"FBgn0039554" 0.1141 0.3327 0.343
"FBgn0031805" 0.0291 0.4745 0.0613
"FBgn0002570" 0.0141 0.3487 0.0404
"FBgn0087012" 0.1158 0.2884 0.4015
"FBgn0035383" 0.0134 0.3103 0.0432
"FBgn0030403" 0.0146 0.2781 0.0525
"FBgn0029993" 0.0357 0.4123 0.0866
"FBgn0038753" 0.0278 0.3311 0.084
"FBgn0030839" 0.0815 0.3243 0.2513
"FBgn0032924" 0.0429 0.2938 0.146
"FBgn0035076" 0.0185 0.2748 0.0673
"FBgn0036376" 0.012 0.3286 0.0365
"FBgn0034704" 0.0099 0.2344 0.0422
"FBgn0036222" 0.0165 0.346 0.0477
"FBgn0035027" 0.0104 0.3672 0.0283
"FBgn0036829" 0.0157 0.272 0.0577
"FBgn0032512" 0.0242 0.3015 0.0803
"FBgn0261363" 0.0597 0.5794 0.103
"FBgn0026326" 0.0527 0.39 0.1351
"FBgn0030500" 0.0516 0.4467 0.1155
"FBgn0032167" 0.0095 0.2421 0.0392
"FBgn0038205" 0.0099 0.3254 0.0304
"FBgn0037757" 0.0182 0.2392 0.0761
"FBgn0038588" 0.0335 0.367 0.0913
"FBgn0031710" 0.0019 0.3057 0.0062
"FBgn0000543" 0.0201 0.3524 0.057
"FBgn0030597" 0.0613 0.2795 0.2193
"FBgn0002937" 0.0183 0.3656 0.0501
"FBgn0052484" 0.0156 0.3177 0.0491
"FBgn0032276" 0.131 0.2899 0.4519
"FBgn0026150" 0.0196 0.2637 0.0743
"FBgn0033913" 0.0251 0.3176 0.079
"FBgn0083945" 0.015 0.1902 0.0789
"FBgn0020386" 0.0184 0.2953 0.0623
"FBgn0032343" 0.0168 0.2644 0.0635
"FBgn0031139" 0.2062 0.3949 0.5222
"FBgn0033943" 0.0209 0.2887 0.0724
"FBgn0035443" 0.0633 0.3008 0.2104
"FBgn0026597" 0.0051 0.1023 0.0499
"FBgn0037501" 0.044 0.1852 0.2376
"FBgn0000057" 0.0321 0.2905 0.1105
"FBgn0034972" 0.0197 0.4457 0.0442
"FBgn0032929" 0.0421 0.3015 0.1396
"FBgn0259712" 0.0208 0.3305 0.0629
"FBgn0000024" 0.0027 0.1962 0.0138
"FBgn0039293" 0.0094 0.2429 0.0387
"FBgn0037554" 0.0148 0.253 0.0585
"FBgn0039415" 0.0125 0.2826 0.0442
"FBgn0016696" 0.0226 0.2626 0.0861
"FBgn0030590" 0.0183 0.279 0.0656
"FBgn0035523" 0.0106 0.2398 0.0442
"FBgn0011774" 0.0394 0.4169 0.0945
"FBgn0037014" 0.0261 0.2538 0.1028
"FBgn0024236" 0.0463 0.247 0.1874
"FBgn0033465" 0.0071 0.3068 0.0231
"FBgn0029689" 0.019 0.341 0.0557
"FBgn0035295" 0.0252 0.4081 0.0617
"FBgn0033983" 0.0078 0.2368 0.0329
"FBgn0034994" 0.0712 0.5326 0.1337
"FBgn0053526" 0.0211 0.3035 0.0695
"FBgn0035244" 0.0093 0.2634 0.0353
"FBgn0032505" 0.133 0.3312 0.4016
"FBgn0032388" 0.018 0.3135 0.0574
"FBgn0042712" 0.0081 0.3588 0.0226
"FBgn0051634" 0.0272 0.2911 0.0934
"FBgn0039564" 0.0705 0.5776 0.1221
"FBgn0050446" 0.0026 0.3358 0.0077
"FBgn0034313" 0.0255 0.3195 0.0798
"FBgn0035691" 0.0979 0.3781 0.2589
"FBgn0041604" 0.0116 0.2869 0.0404
"FBgn0037375" 0.0129 0.3986 0.0324
"FBgn0034243" 0.0046 0.3436 0.0134
"FBgn0030593" 0.0084 0.3864 0.0217
"FBgn0034878" 0.0495 0.4271 0.1159
"FBgn0032080" 0.1338 0.4157 0.3219
"FBgn0250785" 0.0054 0.2477 0.0218
"FBgn0030035" 0.0221 0.3986 0.0554
"FBgn0003209" 0.0198 0.2002 0.0989
"FBgn0024238" 0.0013 0.1955 0.0066
"FBgn0011659" 0.0381 0.3683 0.1034
"FBgn0040348" 0.027 0.305 0.0885
"FBgn0003165" 0.0043 0.1598 0.0269
"FBgn0030514" 0.0069 0.2571 0.0268
"FBgn0036186" 0.16 0.4117 0.3886
"FBgn0036784" 0.0232 0.4758 0.0488
"FBgn0039787" 0.0074 0.3121 0.0237
"FBgn0015519" 5e-04 0.1944 0.0026
"FBgn0031379" 0.0098 0.2805 0.0349
"FBgn0052985" 0.0547 0.3708 0.1475
"FBgn0031540" 0.0129 0.303 0.0426
"FBgn0003520" 0.0233 0.2469 0.0944
"FBgn0031905" 0.0101 0.5405 0.0187
"FBgn0259716" 0.1111 0.361 0.3078
"FBgn0038325" 0.0105 0.2229 0.0471
"FBgn0053337" 0.058 0.3192 0.1817
"FBgn0050360" 0.0167 0.3741 0.0446
"FBgn0028740" 0.0248 0.3511 0.0706
"FBgn0039348" 0.0073 0.1715 0.0426
"FBgn0037252" 0.0565 0.2521 0.2241
"FBgn0032677" 0.0338 0.2285 0.1479
"FBgn0036614" 0.0351 0.3127 0.1122
"FBgn0032901" 0.0463 0.2104 0.2201
"FBgn0029818" 0.0101 0.2748 0.0368
"FBgn0038576" 0.0261 0.3834 0.0681
"FBgn0033033" 0.0495 0.33 0.15
"FBgn0033814" 0.029 0.3155 0.0919
"FBgn0039347" 0.1024 0.4609 0.2222
"FBgn0029878" 0.0803 0.3229 0.2487
"FBgn0033969" 0.0326 0.4088 0.0797
"FBgn0029154" 0.0544 0.4162 0.1307
"FBgn0051217" 0.0237 0.2611 0.0908
"FBgn0037238" 0.0232 0.319 0.0727
"FBgn0029679" 0.0256 0.2917 0.0878
"FBgn0033377" 0.0166 0.3933 0.0422
"FBgn0259834" 0.0403 0.2753 0.1464
"FBgn0029137" 7e-04 0.3127 0.0022
"FBgn0260049" 0.0051 0.2741 0.0186
"FBgn0028341" 0.0089 0.1469 0.0606
"FBgn0035268" 0.098 0.3795 0.2582
"FBgn0030217" 0.0377 0.3553 0.1061
"FBgn0013953" 0.0082 0.2978 0.0275
"FBgn0030766" 0.0394 0.3643 0.1082
"FBgn0036522" 0.0628 0.2435 0.2579
"FBgn0031265" 0.0218 0.3397 0.0642
"FBgn0038058" 0.01 0.3208 0.0312
"FBgn0037060" 0.0191 0.1743 0.1096
"FBgn0037338" 0.1167 0.3248 0.3593
"FBgn0035703" 0.0102 0.2606 0.0391
"FBgn0259821" 0.0801 0.2688 0.298
"FBgn0051718" 0.0455 0.3691 0.1233
"FBgn0029924" 0.0331 0.2691 0.123
"FBgn0001114" 0.066 0.357 0.1849
"FBgn0028475" 0.0435 0.2645 0.1645
"FBgn0034356" 0.0136 0.447 0.0304
"FBgn0042693" 0.0232 0.1774 0.1308
"FBgn0028473" 0.0051 0.2602 0.0196
"FBgn0023512" 0.0202 0.3755 0.0538
"FBgn0023536" 0.0198 0.3177 0.0623
"FBgn0000928" 0.2173 0.4541 0.4785
"FBgn0039588" 0.0129 0.2778 0.0464
"FBgn0039612" 0.056 0.26 0.2154
"FBgn0264494" 0.0325 0.2525 0.1287
"FBgn0037094" 0.002 0.3316 0.006
"FBgn0267351" 0.0667 0.3248 0.2054
"FBgn0037405" 0.0671 0.3422 0.1961
"FBgn0261793" 0.3051 0.5346 0.5707
"FBgn0002924" 0.0221 0.3502 0.0631
"FBgn0061476" 0.0238 0.3361 0.0708
"FBgn0030796" 0.047 0.2199 0.2137
"FBgn0259789" 0.0113 0.1679 0.0673
"FBgn0085419" 0.0064 0.367 0.0174
"FBgn0036716" 0.0302 0.3161 0.0955
"FBgn0030052" 0.0037 0.3026 0.0122
"FBgn0024943" 0.0689 0.3599 0.1914
"FBgn0265262" 3e-04 0.3116 0.001
"FBgn0004380" 0.0025 0.3144 0.008
"FBgn0037115" 0.0448 0.3279 0.1366
"FBgn0010414" 0.0033 0.364 0.0091
"FBgn0034114" 0.0191 0.361 0.0529
"FBgn0032058" 0.0233 0.3316 0.0703
"FBgn0030596" 0.0166 0.4026 0.0412
"FBgn0030588" 0.0684 0.5406 0.1265
"FBgn0020407" 0.0125 0.3083 0.0405
"FBgn0039812" 0.0773 0.5336 0.1449
"FBgn0035336" 0.0189 0.357 0.0529
"FBgn0086706" 7e-04 0.23 0.003
"FBgn0032964" 0.0539 0.2921 0.1845
"FBgn0030206" 0.0203 0.4003 0.0507
"FBgn0037382" 0.0302 0.3584 0.0843
"FBgn0034230" 0.0374 0.2615 0.143
"FBgn0038286" 0.0053 0.2278 0.0233
"FBgn0266668" 0.0084 0.3009 0.0279
"FBgn0030081" 0.0146 0.3535 0.0413
"FBgn0036329" 0.0899 0.3289 0.2733
"FBgn0036512" 0.0278 0.3442 0.0808
"FBgn0035049" 0.0056 0.324 0.0173
"FBgn0037881" 0.0173 0.3949 0.0438
"FBgn0037315" 0.0303 0.3218 0.0942
"FBgn0002577" 0.0106 0.3023 0.0351
"FBgn0052191" 0.0239 0.2647 0.0903
"FBgn0053120" 0.0267 0.3284 0.0813
"FBgn0035192" 0.011 0.3458 0.0318
"FBgn0039141" 0.0066 0.1977 0.0334
"FBgn0002645" 0.1331 0.277 0.4805
"FBgn0042696" 0.0388 0.2143 0.1811
"FBgn0003996" 0.0032 0.281 0.0114
"FBgn0005613" 0.0155 0.2608 0.0594
"FBgn0011674" 0.0165 0.3074 0.0537
"FBgn0027587" 0.0193 0.2582 0.0747
"FBgn0030556" 0.0575 0.4217 0.1364
"FBgn0032863" 0.023 0.349 0.0659
"FBgn0264693" 0.0132 0.1164 0.1134
"FBgn0032083" 0.0094 0.1459 0.0644
"FBgn0032381" 0.025 0.3475 0.0719
"FBgn0041630" 0.0153 0.2562 0.0597
"FBgn0086707" 0.0482 0.3438 0.1402
"FBgn0021995" 0.0034 0.3329 0.0102
"FBgn0033443" 0.0134 0.2134 0.0628
"FBgn0032057" 0.022 0.3337 0.0659
"FBgn0260439" 0.0043 0.1842 0.0233
"FBgn0051915" 0.0282 0.4634 0.0609
"FBgn0032218" 0.0519 0.2526 0.2055
"FBgn0034432" 0.0129 0.3073 0.042
"FBgn0035945" 0.0111 0.2383 0.0466
"FBgn0034693" 0.0438 0.2254 0.1943
"FBgn0263605" 0.0477 0.3134 0.1522
"FBgn0028940" 0.431 67.1869 0.0064
"FBgn0035785" 0.0079 0.4249 0.0186
"FBgn0028541" 0.0071 0.2706 0.0262
"FBgn0032590" 0.1167 0.3683 0.3169
"FBgn0030228" 0.0559 0.3603 0.1551
"FBgn0030930" 0.0014 0.3164 0.0044
"FBgn0031392" 0.0184 0.201 0.0915
"FBgn0033366" 0.0168 0.3272 0.0513
"FBgn0038639" 0.0255 0.2351 0.1085
"FBgn0030798" 0.0218 0.2647 0.0824
"FBgn0022768" 0.0609 0.2888 0.2109
"FBgn0000996" 0.0247 0.2784 0.0887
"FBgn0034067" 0.0092 0.2157 0.0427
"FBgn0031590" 0.0136 0.2977 0.0457
"FBgn0259170" 0.0085 0.2735 0.0311
"FBgn0259168" 0.0208 0.1492 0.1394
"FBgn0031530" 0.0033 0.2931 0.0113
"FBgn0032705" 0.0382 0.3258 0.1172
"FBgn0031327" 0.0201 0.3417 0.0588
"FBgn0012037" 0.0076 0.3109 0.0244
"FBgn0261808" 0.0264 0.2435 0.1084
"FBgn0003326" 0.0176 0.2513 0.07
"FBgn0032485" 0.0044 0.1671 0.0263
"FBgn0029155" 0.0042 0.2174 0.0193
"FBgn0029879" 0.1725 0.4013 0.4299
"FBgn0027589" 0.0287 0.2115 0.1357
"FBgn0030598" 7e-04 0.3377 0.0021
"FBgn0051550" 0.0365 0.2913 0.1253
"FBgn0039201" 0.0314 0.3727 0.0843
"FBgn0031449" 0.0265 0.3824 0.0693
"FBgn0038887" 0.1451 0.4086 0.3551
"FBgn0022355" 0.019 0.3208 0.0592
"FBgn0038640" 0.0442 0.3056 0.1446
"FBgn0262598" 0.0984 0.4122 0.2387
"FBgn0036410" 0.0829 0.2814 0.2946
"FBgn0035400" 0.0325 0.24 0.1354
"FBgn0264442" 0.2451 0.6977 0.3513
"FBgn0033819" 0.1514 0.3884 0.3898
"FBgn0003507" 0.0293 0.1658 0.1767
"FBgn0036518" 0.209 0.6821 0.3064
"FBgn0032454" 0.063 0.3147 0.2002
"FBgn0038569" 0.0192 0.3309 0.058
"FBgn0035101" 0.0252 0.2673 0.0943
"FBgn0259149" 0.0272 0.339 0.0802
"FBgn0029997" 0.0042 0.2927 0.0143
"FBgn0020258" 0.0145 0.3607 0.0402
"FBgn0037028" 0.0318 0.2942 0.1081
"FBgn0001233" 0.0028 0.2238 0.0125
"FBgn0051365" 0.0266 0.3509 0.0758
"FBgn0031119" 0.0298 0.3247 0.0918
"FBgn0032688" 0.0183 0.2579 0.071
"FBgn0035260" 0.0363 0.2795 0.1299
"FBgn0053497" 0.0203 0.4136 0.0491
"FBgn0001202" 0.0081 0.269 0.0301
"FBgn0036250" 0.0593 0.3966 0.1495
"FBgn0033708" 0.0229 0.2652 0.0863
"FBgn0032499" 0.0206 0.2719 0.0758
"FBgn0025185" 0.0458 0.3734 0.1227
"FBgn0033609" 0.0177 0.226 0.0783
"FBgn0030859" 0.093 0.2859 0.3253
"FBgn0052649" 0.029 0.3982 0.0728
"FBgn0014127" 0.0341 0.3629 0.094
"FBgn0038337" 0.0179 0.3147 0.0569
"FBgn0034674" 0.0304 0.2322 0.1309
"FBgn0032827" 0.0713 0.4217 0.1691
"FBgn0038301" 0.0317 0.3761 0.0843
"FBgn0039920" 0.0521 0.231 0.2255
"FBgn0038952" 0.0516 0.3219 0.1603
"FBgn0030869" 0.0083 0.3073 0.027
"FBgn0038880" 0.0025 0.333 0.0075
"FBgn0031875" 0.0271 0.3017 0.0898
"FBgn0033783" 0.022 0.2365 0.093
"FBgn0029945" 0.0595 0.6272 0.0949
"FBgn0000448" 0.0108 0.1639 0.0659
"FBgn0027506" 0.0088 0.195 0.0451
"FBgn0260746" 0.0204 0.2609 0.0782
"FBgn0261341" 7e-04 0.2213 0.0032
"FBgn0015576" 0.0131 0.3223 0.0406
"FBgn0050497" 0.0259 0.234 0.1107
"FBgn0001220" 0.0047 0.2178 0.0216
"FBgn0039789" 0.0069 0.2957 0.0233
"FBgn0002932" 0.0074 0.2428 0.0305
"FBgn0034908" 0.018 0.2916 0.0617
"FBgn0051773" 0.0329 0.3863 0.0852
"FBgn0259164" 0.0097 0.325 0.0298
"FBgn0035676" 0.0138 0.3015 0.0458
"FBgn0267429" 0.0532 0.3338 0.1594
"FBgn0030720" 0.0219 0.3345 0.0655
"FBgn0086372" 0.014 0.0861 0.1626
"FBgn0051814" 0.0179 0.1026 0.1745
"FBgn0035293" 0.0136 0.2819 0.0482
"FBgn0021776" 0.0107 0.2801 0.0382
"FBgn0036937" 0.0483 0.3472 0.1391
"FBgn0039611" 0.0508 0.4182 0.1215
"FBgn0028494" 0.0076 0.2952 0.0257
"FBgn0037082" 0.1144 0.3342 0.3423
"FBgn0033149" 0.0513 0.3759 0.1365
"FBgn0261612" 0.0117 0.2898 0.0404
"FBgn0033987" 0.0072 0.2252 0.032
"FBgn0261799" 0.0197 0.2257 0.0873
"FBgn0034098" 0.1958 0.3981 0.4918
"FBgn0000152" 0.0054 0.2516 0.0215
"FBgn0002914" 0.0597 0.3552 0.1681
"FBgn0033294" 0.0108 0.3261 0.0331
"FBgn0032666" 0.014 0.1934 0.0724
"FBgn0259222" 0.0018 0.1192 0.0151
"FBgn0037717" 0.0254 0.3402 0.0747
"FBgn0022960" 0.0076 0.347 0.0219
"FBgn0261458" 0.0141 0.1605 0.0879
"FBgn0039139" 0.0094 0.3315 0.0284
"FBgn0027549" 0.0142 0.2817 0.0504
"FBgn0086356" 0.008 0.2831 0.0283
"FBgn0083977" 0.0233 0.2495 0.0934
"FBgn0034644" 0.0177 0.2282 0.0776
"FBgn0001970" 0.0174 0.3552 0.049
"FBgn0038261" 0.3157 3.1393 0.1006
"FBgn0032154" 0.0183 0.2884 0.0635
"FBgn0035235" 0.054 0.3622 0.1491
"FBgn0029153" 0.0596 0.4241 0.1405
"FBgn0033401" 0.0021 0.3296 0.0064
"FBgn0052547" 0.3102 0.8792 0.3528
"FBgn0036765" 0.0325 0.2983 0.109
"FBgn0029893" 0.0083 0.2027 0.0409
"FBgn0052103" 0.006 0.1677 0.0358
"FBgn0037743" 0.029 0.2345 0.1237
"FBgn0010052" 0.0384 0.3481 0.1103
"FBgn0035969" 0.0188 0.3095 0.0607
"FBgn0038826" 0.0451 0.1472 0.3064
"FBgn0085450" 0.0236 0.2277 0.1036
"FBgn0000316" 0.0389 0.3038 0.128
"FBgn0038860" 0.0632 0.3736 0.1692
"FBgn0029690" 0.0195 0.2941 0.0663
"FBgn0243486" 0.0071 0.1409 0.0504
"FBgn0050021" 0.0934 0.457 0.2044
"FBgn0033673" 0.0245 0.3186 0.0769
"FBgn0015577" 0.0061 0.2534 0.0241
"FBgn0033323" 0.0498 0.3032 0.1642
"FBgn0031239" 0.027 0.2894 0.0933
"FBgn0032779" 0.0342 0.3471 0.0985
"FBgn0036923" 0.1323 0.3669 0.3606
"FBgn0028360" 0.054 0.273 0.1978
"FBgn0037964" 0.1153 0.3015 0.3824
"FBgn0052354" 0.0131 0.3666 0.0357
"FBgn0033993" 0.0946 0.5141 0.184
"FBgn0033169" 0.0261 0.3964 0.0658
"FBgn0024248" 0.0244 0.3548 0.0688
"FBgn0034718" 0.0273 0.3075 0.0888
"FBgn0031545" 0.006 0.4198 0.0143
"FBgn0039039" 0.0293 0.2088 0.1403
"FBgn0037135" 0.0233 0.2689 0.0866
"FBgn0036838" 0.0353 0.2996 0.1178
"FBgn0011737" 0.0163 0.2096 0.0778
"FBgn0261647" 0.0253 0.2496 0.1014
"FBgn0034458" 0.0355 0.4131 0.0859
"FBgn0032225" 0.0054 0.3142 0.0172
"FBgn0053217" 0.1431 0.3542 0.404
"FBgn0031589" 0.006 0.2158 0.0278
"FBgn0029966" 0.0812 0.5752 0.1412
"FBgn0052091" 0.0137 0.3971 0.0345
"FBgn0029970" 0.0228 0.3126 0.0729
"FBgn0015331" 0.0182 0.3729 0.0488
"FBgn0033392" 0.029 0.3274 0.0886
"FBgn0053092" 0.0218 0.3179 0.0686
"FBgn0001218" 0.0026 0.1143 0.0227
"FBgn0003321" 0.0424 0.2713 0.1563
"FBgn0259896" 0.1649 0.5188 0.3178
"FBgn0034585" 0.0165 0.2813 0.0587
"FBgn0001217" 0.0134 0.4375 0.0306
"FBgn0004652" 0.0214 0.2049 0.1044
"FBgn0035508" 0.0446 0.2943 0.1515
"FBgn0038927" 0.0099 0.232 0.0427
"FBgn0038578" 0.0062 0.3724 0.0166
"FBgn0038339" 0.0161 0.3061 0.0526
"FBgn0031420" 0.0165 0.2065 0.0799
"FBgn0261983" 0.0226 0.2837 0.0797
"FBgn0037630" 0.0309 0.2103 0.1469
"FBgn0029501" 0.0403 0.4375 0.0921
"FBgn0030795" 0.0237 0.389 0.0609
"FBgn0032095" 0.1777 0.3332 0.5333
